FirstName,LastName,Time
Kacper,Rabczewski,02:45:30
Przemek,Orlikowski,02:50:32
Jan,Kowalski,03:22:15
Anna,Nowak,03:44:30
Piotr,Wiśniewski,02:50:45
Katarzyna,Wójcik,03:33:50
Michał,Kowalczyk,02:51:30
Agnieszka,Kamińska,03:55:45
Tomasz,Zieliński,03:22:50
Ewa,Szymańska,03:56:30
Paweł,Woźniak,02:51:15
Małgorzata,Dąbrowska,03:44:45
Krzysztof,Lewandowski,02:50:30
Barbara,Zakrzewska,02:59:45
Stanisław,Kozłowski,02:48:50
Marta,Mazur,03:09:55
Józef,Piotrowski,02:50:55
Magdalena,Grabowska,03:21:55
Andrzej,Nowakowski,02:59:20
Elżbieta,Nowicka,03:20:25
Zofia,Kowalska,03:30:15
Tadeusz,Michalak,02:55:40
Joanna,Adamczyk,03:35:50
Wojciech,Zając,02:52:30
Monika,Duda,03:40:45
Adam,Mazurek,02:53:50
Julia,Zawadzka,03:45:30
Marek,Baran,02:54:15
Alicja,Dudek,03:50:15
Rafał,Przybylski,02:55:30
Natalia,Adamska,03:55:55
Jakub,Sikora,02:56:45
Klaudia,Ostrowska,04:00:30
Łukasz,Marciniak,02:57:30
Paulina,Włodarczyk,04:05:45
Sebastian,Jankowski,02:58:15
Patrycja,Zając,04:10:50
Dawid,Wojciechowski,02:59:50
Karolina,Szwed,04:15:55
Dominik,Lis,03:00:30
